"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"02/13/2018 00:05:00","CAPITL",61757,20.93,1.42,0.00
"02/13/2018 00:05:00","CENTRL",61754,19.94,0.43,0.00
"02/13/2018 00:05:00","DUNWOD",61760,21.20,1.70,0.00
"02/13/2018 00:05:00","GENESE",61753,19.70,0.20,0.00
"02/13/2018 00:05:00","H Q",61844,18.92,-0.58,0.00
"02/13/2018 00:05:00","HUD VL",61758,21.15,1.64,0.00
"02/13/2018 00:05:00","LONGIL",61762,21.89,2.38,0.00
"02/13/2018 00:05:00","MHK VL",61756,20.13,0.62,0.00
"02/13/2018 00:05:00","MILLWD",61759,21.22,1.72,0.00
"02/13/2018 00:05:00","N.Y.C.",61761,21.40,1.89,0.00
"02/13/2018 00:05:00","NORTH",61755,19.02,-0.49,0.00
"02/13/2018 00:05:00","NPX",61845,21.09,1.58,0.00
"02/13/2018 00:05:00","O H",61846,19.19,-0.31,0.00
"02/13/2018 00:05:00","PJM",61847,20.17,0.66,0.00
"02/13/2018 00:05:00","WEST",61752,19.64,0.14,0.00
"02/13/2018 00:10:00","CAPITL",61757,25.89,1.83,0.00
"02/13/2018 00:10:00","CENTRL",61754,24.47,0.41,0.00
"02/13/2018 00:10:00","DUNWOD",61760,26.20,2.14,0.00
"02/13/2018 00:10:00","GENESE",61753,24.11,0.05,0.00
"02/13/2018 00:10:00","H Q",61844,23.38,-0.67,0.00
"02/13/2018 00:10:00","HUD VL",61758,26.10,2.04,0.00
"02/13/2018 00:10:00","LONGIL",61762,27.02,2.96,0.00
"02/13/2018 00:10:00","MHK VL",61756,24.80,0.75,0.00
"02/13/2018 00:10:00","MILLWD",61759,26.20,2.14,0.00
"02/13/2018 00:10:00","N.Y.C.",61761,26.42,2.36,0.00
"02/13/2018 00:10:00","NORTH",61755,23.53,-0.53,0.00
"02/13/2018 00:10:00","NPX",61845,26.10,2.04,0.00
"02/13/2018 00:10:00","O H",61846,23.38,-0.67,0.00
"02/13/2018 00:10:00","PJM",61847,24.73,0.67,0.00
"02/13/2018 00:10:00","WEST",61752,23.91,-0.14,0.00
"02/13/2018 00:15:00","CAPITL",61757,24.53,1.71,0.00
"02/13/2018 00:15:00","CENTRL",61754,23.18,0.36,0.00
"02/13/2018 00:15:00","DUNWOD",61760,24.78,1.96,0.00
"02/13/2018 00:15:00","GENESE",61753,22.86,0.05,0.00
"02/13/2018 00:15:00","H Q",61844,22.20,-0.61,0.00
"02/13/2018 00:15:00","HUD VL",61758,24.71,1.89,0.00
"02/13/2018 00:15:00","LONGIL",61762,25.51,2.69,0.00
"02/13/2018 00:15:00","MHK VL",61756,23.52,0.71,0.00
"02/13/2018 00:15:00","MILLWD",61759,24.80,1.98,0.00
"02/13/2018 00:15:00","N.Y.C.",61761,24.98,2.17,0.00
"02/13/2018 00:15:00","NORTH",61755,22.34,-0.48,0.00
"02/13/2018 00:15:00","NPX",61845,24.73,1.92,0.00
"02/13/2018 00:15:00","O H",61846,22.18,-0.64,0.00
"02/13/2018 00:15:00","PJM",61847,23.41,0.59,0.00
"02/13/2018 00:15:00","WEST",61752,22.68,-0.14,0.00
"02/13/2018 00:20:00","CAPITL",61757,24.50,1.67,0.00
"02/13/2018 00:20:00","CENTRL",61754,23.29,0.46,0.00
"02/13/2018 00:20:00","DUNWOD",61760,24.78,1.94,0.00
"02/13/2018 00:20:00","GENESE",61753,22.93,0.09,0.00
"02/13/2018 00:20:00","H Q",61844,22.20,-0.64,0.00
"02/13/2018 00:20:00","HUD VL",61758,24.71,1.87,0.00
"02/13/2018 00:20:00","LONGIL",61762,25.51,2.67,0.00
"02/13/2018 00:20:00","MHK VL",61756,23.54,0.71,0.00
"02/13/2018 00:20:00","MILLWD",61759,24.82,1.99,0.00
"02/13/2018 00:20:00","N.Y.C.",61761,24.98,2.15,0.00
"02/13/2018 00:20:00","NORTH",61755,22.36,-0.48,0.00
"02/13/2018 00:20:00","NPX",61845,24.64,1.80,0.00
"02/13/2018 00:20:00","O H",61846,22.31,-0.52,0.00
"02/13/2018 00:20:00","PJM",61847,23.54,0.71,0.00
"02/13/2018 00:20:00","WEST",61752,22.81,-0.02,0.00
"02/13/2018 00:25:00","CAPITL",61757,24.46,1.62,0.00
"02/13/2018 00:25:00","CENTRL",61754,23.32,0.48,0.00
"02/13/2018 00:25:00","DUNWOD",61760,24.78,1.94,0.00
"02/13/2018 00:25:00","GENESE",61753,22.95,0.11,0.00
"02/13/2018 00:25:00","H Q",61844,22.20,-0.64,0.00
"02/13/2018 00:25:00","HUD VL",61758,24.71,1.87,0.00
"02/13/2018 00:25:00","LONGIL",61762,25.51,2.67,0.00
"02/13/2018 00:25:00","MHK VL",61756,23.54,0.71,0.00
"02/13/2018 00:25:00","MILLWD",61759,24.80,1.96,0.00
"02/13/2018 00:25:00","N.Y.C.",61761,24.98,2.15,0.00
"02/13/2018 00:25:00","NORTH",61755,22.38,-0.46,0.00
"02/13/2018 00:25:00","NPX",61845,24.59,1.76,0.00
"02/13/2018 00:25:00","O H",61846,22.36,-0.48,0.00
"02/13/2018 00:25:00","PJM",61847,23.57,0.73,0.00
"02/13/2018 00:25:00","WEST",61752,22.86,0.02,0.00
"02/13/2018 00:30:00","CAPITL",61757,23.28,1.48,0.00
"02/13/2018 00:30:00","CENTRL",61754,22.32,0.52,0.00
"02/13/2018 00:30:00","DUNWOD",61760,23.62,1.83,0.00
"02/13/2018 00:30:00","GENESE",61753,21.97,0.17,0.00
"02/13/2018 00:30:00","H Q",61844,21.16,-0.63,0.00
"02/13/2018 00:30:00","HUD VL",61758,23.56,1.76,0.00
"02/13/2018 00:30:00","LONGIL",61762,24.30,2.51,0.00
"02/13/2018 00:30:00","MHK VL",61756,22.49,0.70,0.00
"02/13/2018 00:30:00","MILLWD",61759,23.65,1.85,0.00
"02/13/2018 00:30:00","N.Y.C.",61761,23.80,2.00,0.00
"02/13/2018 00:30:00","NORTH",61755,21.33,-0.46,0.00
"02/13/2018 00:30:00","NPX",61845,23.38,1.59,0.00
"02/13/2018 00:30:00","O H",61846,21.44,-0.35,0.00
"02/13/2018 00:30:00","PJM",61847,22.56,0.76,0.00
"02/13/2018 00:30:00","WEST",61752,21.93,0.13,0.00
"02/13/2018 00:35:00","CAPITL",61757,23.30,1.54,0.00
"02/13/2018 00:35:00","CENTRL",61754,22.23,0.48,0.00
"02/13/2018 00:35:00","DUNWOD",61760,23.60,1.85,0.00
"02/13/2018 00:35:00","GENESE",61753,21.89,0.13,0.00
"02/13/2018 00:35:00","H Q",61844,21.12,-0.63,0.00
"02/13/2018 00:35:00","HUD VL",61758,23.54,1.78,0.00
"02/13/2018 00:35:00","LONGIL",61762,24.30,2.54,0.00
"02/13/2018 00:35:00","MHK VL",61756,22.45,0.70,0.00
"02/13/2018 00:35:00","MILLWD",61759,23.63,1.87,0.00
"02/13/2018 00:35:00","N.Y.C.",61761,23.80,2.04,0.00
"02/13/2018 00:35:00","NORTH",61755,21.30,-0.46,0.00
"02/13/2018 00:35:00","NPX",61845,23.41,1.65,0.00
"02/13/2018 00:35:00","O H",61846,21.32,-0.43,0.00
"02/13/2018 00:35:00","PJM",61847,22.47,0.72,0.00
"02/13/2018 00:35:00","WEST",61752,21.80,0.04,0.00
"02/13/2018 00:40:00","CAPITL",61757,23.26,1.56,0.00
"02/13/2018 00:40:00","CENTRL",61754,22.15,0.46,0.00
"02/13/2018 00:40:00","DUNWOD",61760,23.51,1.82,0.00
"02/13/2018 00:40:00","GENESE",61753,21.82,0.13,0.00
"02/13/2018 00:40:00","H Q",61844,21.06,-0.63,0.00
"02/13/2018 00:40:00","HUD VL",61758,23.45,1.76,0.00
"02/13/2018 00:40:00","LONGIL",61762,24.21,2.52,0.00
"02/13/2018 00:40:00","MHK VL",61756,22.37,0.67,0.00
"02/13/2018 00:40:00","MILLWD",61759,23.56,1.87,0.00
"02/13/2018 00:40:00","N.Y.C.",61761,23.71,2.02,0.00
"02/13/2018 00:40:00","NORTH",61755,21.21,-0.48,0.00
"02/13/2018 00:40:00","NPX",61845,23.39,1.69,0.00
"02/13/2018 00:40:00","O H",61846,21.26,-0.43,0.00
"02/13/2018 00:40:00","PJM",61847,22.39,0.69,0.00
"02/13/2018 00:40:00","WEST",61752,21.74,0.04,0.00
"02/13/2018 00:45:00","CAPITL",61757,24.55,1.69,0.00
"02/13/2018 00:45:00","CENTRL",61754,23.32,0.46,0.00
"02/13/2018 00:45:00","DUNWOD",61760,24.80,1.94,0.00
"02/13/2018 00:45:00","GENESE",61753,22.95,0.09,0.00
"02/13/2018 00:45:00","H Q",61844,22.19,-0.66,0.00
"02/13/2018 00:45:00","HUD VL",61758,24.73,1.87,0.00
"02/13/2018 00:45:00","LONGIL",61762,25.49,2.63,0.00
"02/13/2018 00:45:00","MHK VL",61756,23.57,0.71,0.00
"02/13/2018 00:45:00","MILLWD",61759,24.82,1.97,0.00
"02/13/2018 00:45:00","N.Y.C.",61761,24.98,2.13,0.00
"02/13/2018 00:45:00","NORTH",61755,22.38,-0.48,0.00
"02/13/2018 00:45:00","NPX",61845,24.69,1.83,0.00
"02/13/2018 00:45:00","O H",61846,22.33,-0.52,0.00
"02/13/2018 00:45:00","PJM",61847,23.54,0.69,0.00
"02/13/2018 00:45:00","WEST",61752,22.84,-0.02,0.00
"02/13/2018 00:50:00","CAPITL",61757,24.61,1.67,0.00
"02/13/2018 00:50:00","CENTRL",61754,23.44,0.50,0.00
"02/13/2018 00:50:00","DUNWOD",61760,24.87,1.93,0.00
"02/13/2018 00:50:00","GENESE",61753,23.08,0.14,0.00
"02/13/2018 00:50:00","H Q",61844,22.27,-0.67,0.00
"02/13/2018 00:50:00","HUD VL",61758,24.82,1.88,0.00
"02/13/2018 00:50:00","LONGIL",61762,25.60,2.66,0.00
"02/13/2018 00:50:00","MHK VL",61756,23.65,0.71,0.00
"02/13/2018 00:50:00","MILLWD",61759,24.91,1.97,0.00
"02/13/2018 00:50:00","N.Y.C.",61761,25.05,2.11,0.00
"02/13/2018 00:50:00","NORTH",61755,22.44,-0.50,0.00
"02/13/2018 00:50:00","NPX",61845,24.75,1.81,0.00
"02/13/2018 00:50:00","O H",61846,22.48,-0.46,0.00
"02/13/2018 00:50:00","PJM",61847,23.70,0.76,0.00
"02/13/2018 00:50:00","WEST",61752,22.99,0.05,0.00
"02/13/2018 00:55:00","CAPITL",61757,24.55,1.67,0.00
"02/13/2018 00:55:00","CENTRL",61754,23.38,0.50,0.00
"02/13/2018 00:55:00","DUNWOD",61760,24.82,1.94,0.00
"02/13/2018 00:55:00","GENESE",61753,22.99,0.11,0.00
"02/13/2018 00:55:00","H Q",61844,22.21,-0.66,0.00
"02/13/2018 00:55:00","HUD VL",61758,24.75,1.88,0.00
"02/13/2018 00:55:00","LONGIL",61762,25.58,2.70,0.00
"02/13/2018 00:55:00","MHK VL",61756,23.59,0.71,0.00
"02/13/2018 00:55:00","MILLWD",61759,24.85,1.97,0.00
"02/13/2018 00:55:00","N.Y.C.",61761,25.01,2.13,0.00
"02/13/2018 00:55:00","NORTH",61755,22.37,-0.50,0.00
"02/13/2018 00:55:00","NPX",61845,24.71,1.83,0.00
"02/13/2018 00:55:00","O H",61846,22.40,-0.48,0.00
"02/13/2018 00:55:00","PJM",61847,23.63,0.75,0.00
